# E_up      Flux
1.00000e+07 1.15747e-01
7.78801e+06 3.22663e-01
6.06531e+06 6.98332e-01
4.72367e+06 1.07901e+00
3.67879e+06 1.60166e+00
2.86505e+06 2.23603e+00
2.23130e+06 2.00224e+00
1.73774e+06 2.11032e+00
1.35335e+06 1.92991e+00
1.05399e+06 1.84094e+00
8.20850e+05 2.18391e+00
6.39279e+05 1.85535e+00
4.97871e+05 1.19164e+00
3.87742e+05 1.44611e+00
3.01974e+05 1.26975e+00
2.35177e+05 1.07289e+00
1.83156e+05 9.04271e-01
1.42642e+05 8.50296e-01
1.11090e+05 7.24938e-01
8.65170e+04 7.05070e-01
6.73795e+04 6.33033e-01
5.24752e+04 5.84579e-01
4.08677e+04 5.37489e-01
3.18278e+04 5.48454e-01
2.47875e+04 5.11331e-01
1.93045e+04 4.93032e-01
1.50344e+04 4.80633e-01
1.17088e+04 4.69895e-01
9.11882e+03 4.62305e-01
7.10174e+03 4.50475e-01
5.53084e+03 4.50659e-01
4.30743e+03 4.44715e-01
3.35463e+03 4.37440e-01
2.61259e+03 4.36272e-01
2.03468e+03 4.32593e-01
1.58461e+03 4.29715e-01
1.23410e+03 4.24303e-01
9.61117e+02 4.20648e-01
7.48518e+02 4.15923e-01
5.82947e+02 4.13728e-01
4.53999e+02 4.12779e-01
3.53575e+02 4.08367e-01
2.75365e+02 3.99867e-01
2.14454e+02 3.87268e-01
1.67017e+02 3.97100e-01
1.30073e+02 3.55546e-01
1.01301e+02 3.86312e-01
7.88933e+01 3.62534e-01
6.14421e+01 3.80684e-01
4.78512e+01 3.61427e-01
3.72665e+01 3.06374e-01
2.90232e+01 3.60521e-01
2.26033e+01 2.63411e-01
1.76035e+01 3.50964e-01
1.37096e+01 3.48321e-01
1.06770e+01 3.36544e-01
8.31529e+00 2.18583e-01
6.47595e+00 2.83427e-01
5.04348e+00 3.39290e-01
3.92786e+00 3.46558e-01
3.05902e+00 3.53525e-01
2.38240e+00 3.55279e-01
1.85540e+00 3.60008e-01
1.63740e+00 3.62149e-01
1.44500e+00 3.62930e-01
1.27520e+00 3.52614e-01
1.12540e+00 3.51086e-01
9.93120e-01 3.60500e-01
8.76420e-01 3.66303e-01
7.73440e-01 3.71271e-01
6.82560e-01 3.75500e-01
6.02360e-01 3.78357e-01
5.31580e-01 3.78862e-01
4.69120e-01 3.76381e-01
4.13990e-01 3.73072e-01
3.89260e-01 3.70444e-01
3.65280e-01 3.67310e-01
3.42060e-01 3.64630e-01
3.19610e-01 3.63073e-01
2.97920e-01 3.65449e-01
2.76990e-01 3.72920e-01
2.56830e-01 3.85775e-01
2.37420e-01 4.03757e-01
2.18780e-01 4.27435e-01
2.00900e-01 4.56237e-01
1.83780e-01 4.93049e-01
1.67430e-01 5.38566e-01
1.51830e-01 5.94903e-01
1.37000e-01 6.62539e-01
1.22930e-01 7.35983e-01
1.09630e-01 8.09616e-01
9.70800e-02 8.74857e-01
8.53970e-02 9.21813e-01
7.42760e-02 9.38969e-01
6.40170e-02 9.17289e-01
5.45200e-02 8.53922e-01
4.57850e-02 7.51947e-01
3.78130e-02 6.21497e-01
3.06020e-02 4.77253e-01
2.41540e-02 3.35683e-01
1.84670e-02 2.12235e-01
1.35430e-02 1.17138e-01
9.38050e-03 5.38660e-02
5.98040e-03 1.89783e-02
3.34230e-03 4.32906e-03
1.46630e-03 4.19853e-04
3.52380e-04 5.86554e-06
